names,research
"Valafar, Homayoun","Dr. Valafar's research activities fall into two broad categories of research: Computational
                                    Medicine and Computational Biology. The computational medicine tier of his research
                                    is focused on development of computational modeling of human response to different
                                    medical treatments or methods of rehabilitation. Dr. Valafar's group has demonstrated
                                    a success in relation to administration of Hydroxyurea for alleviation of symptoms
                                    associated with Sickle Cell Anemia. The second tier of his research focuses on the
                                    problem of protein folding. The general community of researchers focus on two disjoint
                                    and orthogonal approaches to protein structure determination: purely experimental
                                    and purely computational approaches. Each of these two approaches possess advantages
                                    and disadvantages that results in their continued research and developments and hinders
                                    their practical utility. Dr. Valafar's current research (funded by NIH and NSF) is
                                    focused on exploration of hybrid approaches that combines minimum experimental data
                                    with novel computational approaches. This hybrid approach has been shown to combine
                                    the advantages of each contributing components while mitigating their detriments. | Computational Biology|Bioinformatics|Artificial Intelligence|Machine Learning|Neural Information Processing"
"Valtorta, Marco","Dr. Valtorta's research interests are in the areas of normative reasoning under uncertainty
                                 (especially Bayesian networks, chain graphs, influence diagrams, causal models, identifiability
                                 issues, and applications in multiagent systems), heuristics for problem solving, and
                                 computational complexity in artificial intelligence. As a faculty member, he conducted
                                 research funded by ARDA, SPAWAR, DARPA, IARPA, the Office of Naval Research (ONR),
                                 the U.S. Department of Agriculture (DOA), CISE (an Italian laboratory controlled by
                                 ENEL, the state electricity company), and the South Carolina Law Enforcement Division.
                                 He recently led the UofSC part of a multi-institution IARPA-funded project on the
                                 synergistic use of Wigmorean inference networks and Bayesian networks to support argumentation
                                 and collaborated with Dr. Linyuan Lu of the UofSC mathematics department in an ONR-funded
                                 project on the Markov properties of directed hypergraphs. His current research includes
                                 inventing new algorithms for learning chain graphs from data and domain knowledge
                                 and the application of counterfactual reasoning to personalized health care. | Artificial Intelligence"
"Van Brunt, Vincent","Professor Van Brunt's research interests are: separations modeling and chemistry including
                                 design of distillation, adsorption and extraction systems; extraction chemistry for
                                 both organic and hydrometallurgical systems; filtration; chemistry and engineering
                                 of ceramic precursors via the sol-gel process; the development of new mathematical
                                 modeling techniques for process thermodynamics and separations, and the analysis of
                                 process hazards.|Recent specific research projects include the development of: a) new extractant-diluent
                                 chemistry for acetic acid recovery from terephthalic acid plants, b) new extractant-diluent
                                 chemistry for the separation of cesium and strontium, c) experimental and theoretical
                                 analysis of temperature distributions in horizontal metal hydride beds, d) constitutive
                                 relationships for air-water downflow, e) new continuation algorithms using differential
                                 geometry for separations, and f) the characteristics of liquid-liquid-solid systems
                                 that have enhanced extraction and regeneration capability.|Current active research projects include hazard analysis of hydrogen evolution chemical
                                 processes, analysis of heat-integrated azeotropic distillation systems, the theoretical
                                 and experimental analysis of chemical-exchange for aqueous detritiation of groundwater,
                                 the development of extraction chemistry for mercury and cadmium recovery from waste
                                 streams and crossflow filtration of high activity nuclear waste simulants."
"Vargas, Juan",['Dr . Vargas is a adjunct professor for the Computer Science and Engineering Department .']
"Vensel, Ellie","['research', 'computer', 'engineering']"
"Vidal, Jose M. ","Professor Vidal's research interests are in the area of multiagent systems. On the
                                    theoretical side he is interested in developing systems that coordinate and aggregate
                                    the actions of large number of autonomous agents. This is interdisciplinary work which
                                    straddles the boundaries of economics, algorithmic game theory, distributed algorithms,
                                    agent-based modelling, and the social sciences. On the implementation side he is interested
                                    in the development of agent-based simulations, web applications and web services. | multiagent systems|agent-based modeling|artificial intelligence|distributed systems"
"Viparelli, Enrica","['2018 Present Associate Professor , Civil and Environmental Engineering , University of South Carolina , Columbia2012 2017 Assistant Professor , Civil and Environmental Engineering , University of South Carolina , Columbia']"
"Vitali, Juan A.","Interest in microreactor design concepts, advanced fuel design,  LENR, transportable
                                 reactors, molten salt, liquid metal and other designs"
"Vitzilaios, Nikolaos (Nikos)",Unmanned Systems|Robotics|Mechatronics
"Vogt, Thomas",Chemistry|Physics|Materials Science
"Wang, Guiren","Dr. Wang's research and interests include micro/nanofluidics, electrokinetics, lab-on-a-chip,
                                 far field optical nanoscopy, super-resolution imaging, cancer detection, fluorescence
                                 spectroscopy, tissue engineering, fluid dynamics, turbulence and mixing. | micro/nanofluidics|lab-on-a-chip|super-resolution imaging|cancer detection|turbulence and mixing."
"Wang, Guoan","Smart RF/Microwave/mmwave devices, circuits and systems:
                                    
                                    
MEMS based RF components and systems
On-chip tunable RF components and systems
Reconfigurable components with the integration of ferroelectric and ferromagnetic
                                          thin films|MEMS based RF components and systems|On-chip tunable RF components and systems|Reconfigurable components with the integration of ferroelectric and ferromagnetic
                                          thin films|3D IC and system integration|Sensors and sensing systems|3D Printing and Advanced Manufacturing Technology"
"Wang, Song","Professor Wang's research interests include computer vision, medical imaging, and
                                 machine learning. Recently, his research is focused on developing computational algorithms
                                 and software tools for:|understanding the natural images or image sequences by extracting perceptually salient
                                    structures,|constructing statistical models for quantifying the nonrigid shape variation of anatomic
                                    structures,|automatically and interactively segmenting structures of interest from various MR,
                                    CT, and microscopic images,|detecting and recognizing objects of interest from images,|detecting and recognizing human activities in videos. | Computer Vision|Image Processing|Machine Learning"
"Wang, Xiaofeng","Model predictive control, robust adaptive control, networked control systems, multi-agent
                                    systems, and machine learning, with their applications in robotics, cyber-physical
                                    systems, and autonomous systems. | Robotics and Control|Cyber-Physical Systems|Autonomous Systems|Machine Learning"
"Wang, Yi","['Curriculum Vitae pdf iMSEL LabDr . Wang s research interests include Computational and data enabled science and engineering CDS E and its applications in multiphysics and multiscale systems engineering , including fluid structural interaction , microfluidics nanofluidics , thermal and energy management , additive manufacturing , among others . The specific focuses are 1 physics based adaptive modeling , from high fidelity multiphysics CFD FEM analysis to reduced order modeling and closed form modeling for real time simulation , trade space exploration , and process control 2 data driven multi fidelity surrogate modeling for multidisciplinary analysis and optimization , large scale system level simulation , and adaptive model integration 3 massive and real time data analytics , discovery , and management , including engineering data mining , parameter estimation , uncertainty quantification , machine learning , and green computing visualization and 4 systems engineering of microfluidics nanofluidics , including model development , system design , control synthesis , hardware development , and experimentation , with the long term goal towards engineering intelligenceL . M . Lee , J . M . Rosanoa , Y . Wang , C . J . Garsona , B . Prabhakarpandiana , K . Pant G . J . Klarmannc , L . M . Alvarez , and E . Lai , Label Free Mesenchymal Stem Cells Enrichment from Bone Marrow by Spiral Inertial Microfluidics , Analytical Methods , 10 , 713 721 , 2018']"
"Waugh, David",Civil and Environmental Engineering
"Weatherford, Travis",Civil and Environmental Engineering
"Webb, R. Clinton","The physiology of smooth muscle, with particular emphasis placed on: 1) vascular reactivity
                                 in hypertension and diabetes, 2) penile and clitoral erection in sexual dysfunction,
                                 3) mechanisms of bladder dysfunction in diabetes, 4) cellular and subcellular mechanisms
                                 of contraction and relaxation of vascular smooth muscle (cell signaling, electrogenic
                                 sodium pump, subcellular calcium distribution, monovalent cation movements, nitric
                                 oxide, RhoA/Rho kinase, etc.), 5) adrenergic neurotransmission in blood vessels, and
                                 6) intercellular communication between smooth muscle cells."
"Wei, Tao","Dr. Wei lab focuses on functional materials and biotechnologies to tackle challenges
                                 in health, energy and environment. To achieve structure-function design, we combine
                                 our house-developed multiscale simulation framework (quantum, atomistic, mesoscopic
                                 and continuum scales) with theories, machine learning and experiments at the interface
                                 between chemistry, physics and biology.|My lab is working on four specific areas: 1) biomaterials, biocompatible materials
                                 and biotechniques; 2) polymer membrane and semiconducting polymers; 3) low-dimensional
                                 or nanoporous materials; 4) materials at severe conditions.|Our recent research projects about crosslinked polymer membrane, biosensor development
                                 (surface enhance Raman and dielectric spectroscopy spectrum) and the fundamental studies
                                 of bio-nano interactions and abiotic-biotic interfacial Redox have been funded by
                                 NSF, NASA, DoE and DoD."
"Wei, Xiaojun",Nanotechnology Biomedical Engineering|Functional Nanoparticles|Nanopore|Biosensor，Biomarker Sensing，Protein …
"Wenceslau, Camilla Ferreira","The overarching goal of my laboratory is to understand vascular physiology in cardiovascular
                                 diseases. We study the mechanisms associated with the vascular-immune network in hypertension,
                                 metabolic syndrome and sepsis. Specifically, we question why immunoreceptors that
                                 are crucial for chemotaxis and inflammation in sentinel cells, are expressed in the
                                 vasculature? Further, does activation or inhibition of these receptors play a role
                                 in the vascular physiology and pathophysiology? To answer these questions, my laboratory
                                 employs a wide range of cutting-edge techniques and multidisciplinary in vivo and
                                 in vitro experimental approaches including clinically relevant diseased mouse and
                                 rat models, radiotelemetry, vascular isobaric and isometric force measurement, and
                                 biochemical and molecular biology methods. Our work has been previously supported
                                 by the American Heart Association (AHA) and it is currently funded by the NIH [NHLBI
                                 (R01) and NIGMS (R00)]."
"Wessinger, Rebecca","['research', 'computer', 'engineering']"
"White, Ralph E.","Dr. White and members of his research group are working on projects in the areas of
                                 fuel cells, batteries, electro-deposition, corrosion, and numerical methods. Their
                                 work on numerical methods consists of developing efficient algorithms to solve the
                                 equations that represent the phenomena that occur in electrochemical and chemical
                                 systems."
"Wilhelm, Dan",Mechanical Engineering
"Wilkinson, Ronni","['research', 'computer', 'engineering']"
"Williams, Andrea R.","['research', 'computer', 'engineering']"
"Williams, Christopher","The Williams group research interests are in the area of heterogeneous catalysis and
                                 surface science, with a particular focus on studying solid-liquid catalytic interfaces.
                                 Catalysis carried out in the liquid-phase is very important for applications such
                                 as fine chemicals and pharmaceutical production, and in the production of new fuels
                                 from biorenewable resources. Our primary research involves the development and application
                                 of in-situ or operando surface vibrational spectroscopic methods to study adsorption
                                 and catalysis at solid catalyst surfaces under industrially relevant reaction conditions
                                 (i.e., in the liquid phase and/or at high gas pressures and temperatures). Specific
                                 techniques under development in our group include surface-enhanced Raman spectroscopy
                                 (SERS), attenuated total reflection infrared (ATR-IR) spectroscopy, and sum-frequency
                                 spectroscopy (SFS).|The information obtained with these approaches allows us to develop a molecular-level
                                 understanding of the catalytic mechanisms that govern the function of heterogeneous
                                 catalysts under reaction conditions. Such understanding is critical if we wish to
                                 rationally design catalysts for specific applications in the future. Current reaction
                                 systems of interest include enantioselective hydrogenation of alpha-ketoesters and
                                 alkenoic acids; selective oxidation of alcohols, including especially glycerol, which
                                 is the major byproduct in biodiesel production; hydrodeoxygenation of biomass-derived
                                 organic acids and acid esters to hydrocarbon fuel; and electrocatalytic reduction
                                 of carbon dioxide to hydrocarbons. Catalysts under investigation involve both polycrystalline
                                 transition metals and oxide-supported mono and bimetallic nanoparticle catalysts.
                                 The latter materials are prepared either through traditional catalyst synthesis methods
                                 or more novel protocols under development (e.g., dendrimer-metal nano composites,
                                 electroless deposition) that allow for control of size and composition on the nanoscale.
                                 The Williams group is currently funded by the National Science Foundation, and by
                                 a variety of industrial sources. | Catalysis|Spectroscopy"
"Winkleman, Heather","['research', 'computer', 'engineering']"
"Winterfeldt, Andrew","['research', 'computer', 'engineering']"
"Won, Sang Hee",combustion|flames|fuels|propulsion|chemical kinetics
"Wood, Janet","['research', 'computer', 'engineering']"
"Woodley, Chris","['research', 'computer', 'engineering']"
"Wright, Patrick M., Sr.",Integrated Information Technology
"Wu, Dezhi",Human-Computer/AI Interaction & UX Design|Health IT and Informatics|AI|Conversational UI Design|Behavioral Information Secur
"Wurdinger, Jamie","['research', 'computer', 'engineering']"
"Xue, Xingjian (Chris) ",solid oxide fuel cells|gas separation membranes|electrochemical energy conversion and …
"Yu, Lingyu ",Structural Health Monitoring|Ultrasonics|Vibration
"Yuan, Lang",Solidification|Microstructure Modelling|Additive Manufacturing|Discrete Element Modelling
"Yuan, Susan",Mechanical Engineering
"Zand, Ramtin","Dr. Zand's research interests involve Hardware Design for Machine Learning Systems,
                                 Neuromorphic Computing, Emerging Nanoscale Electronics including spintronic devices,
                                 Reconfigurable and Adaptive Computer Architectures, and Low-Power and Reliability-Aware
                                 VLSI Circuits. | Edge Computing|Neuromorphic Computing|In-Memory Computing|Machine Learning|Processing-In-Memory"
"Zhang, Bin","Prognostics and health management, which covers fault detection and isolation, failure
                                       prognosis, and fault tolerance|Robotics, unmanned systems, electromechanics, and industrial electronics|Intelligent systems and control|Dynamic systems, design, modeling, simulation and control."
"Zhang, Qi","My research interest is in artificial intelligence and reinforcement learning. The
                                 long-term goal of my research is to build safe, reliable, and trustworthy AI systems
                                 that retain their power and flexibility to handle complex, diverse contexts. To this
                                 end, I develop and analyze decision making algorithms for uncertain, dynamic environments."
"Zhou, Caizhi",Mechanical metallurgy|dislocation dynamics|crystal plasticity|multiscale modeling|friction stir welding
"Ziehl, Paul","Dr. Paul Ziehl is the Associate Dean for Research in the College of Engineering and
                                 Computing at the University of South Carolina, where he serves to understand and align
                                 capabilities of the faculty and the research enterprise of the College. He is a professor
                                 of structural engineering in the Departments of Mechanical and Civil and Environmental
                                 Engineering.|Dr. Ziehl has experience in the management of and interest in joint venture projects
                                 involving multiple universities and industrial collaborators. He has served as the
                                 Principal Investigator at the University of South Carolina for a four-year NIST-sponsored
                                 joint venture project for edge analytics and development of a commercially deployed
                                 wireless structural prognosis system.|Dr. Ziehl conducts research in aerospace composites and related structural systems.
                                 In this capacity, he has conducted multiple investigations for the Department of Defense
                                 in collaboration with Texas Research International for a real-time in flight evaluation
                                 system, contributed to the development of a flight ready monitoring system for thermoplastic
                                 aircraft control surfaces, and developed evaluation procedures for progressive damage
                                 caused by Automated Fiber Placement (AFP) defects through the NASA sponsored Advanced
                                 Composites Consortium. Dr. Ziehl contributes to the development of high-pressure composite
                                 overwrapped hydrogen vessels through his work on the ASME BPV Code, where he serves
                                 as a voting member. His research lies at the intersection of data driven experimental
                                 approaches informed with machine learning and physics-based numerical simulations."
"Bailey, Sherry",Early Social Communication Development|Autism Spectrum Disorder|Cultural Communication
"Cole, Casey",Computational Biology|Bioinformatics|Data Science
"Coman, Paul",thermodynamics|Li-ion safety
"Eslambolchi Moghadam, Sara",Natural product|Medicinal plant|Drug discovery|Wound Healing
"George, Kyle",Liquid Crystals|Soft Matter|3D Printing|Biomaterials
"Gholizadeh, Sona",Engineering Education|Higher Education|Systems Analysis
"Hikmet, Neset, Ph.D.",Health Information Technology|Health Informatics|Information Systems
"Huray, Paul G.",Signal Integrity|RF Engineering
"Myers, Rachel K.",eDNA|ethnobotany|domestication|genomics|Nagoya Protocol
"Regan, Elizabeth A., Ph.D.",health information technology|clinical innovation|large-scale organizational change|IT innovation
"Taheri-Qazvini, Nader ",Soft Matter|Polymer Science|Hybrid Materials|Glassy Dynamics|2D Materials
"Tang, Jijun",algorithm|computational biology|game
"Wilbur, Katherine",Health Services Research|Elder Abuse|Gerontology
